#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
b_tower_turgon;Tower of Turgon;Tour de Turgon;;;;x
b_gar_ainion;Gar Ainion;Gar Ainion;;;;x
b_fountain_south;the Fountains;les Fontaines;;;;x
b_arch_ingwe;Arch of Ingwë;Arche d'Ingwë;;;;x
b_main_gate;Main Gate;Porte Principale;;;;x
b_amon_gwareth;Amon Gwareth;Amon Gwareth;;;;x
b_caragdur;Caragdûr;Caragdûr;;;;x
b_tumladen;Tumladen;Tumladen;;;;x
b_echoriath;Echoriath;Echoriath;;;;x
b_nin_tumladen;Nîn-i-Tumladen;Nîn-i-Tumladen;;;;x
b_gate_of_steel;Gate of Steel;Porte d'Acier;;;;x
b_gate_of_gold;Gate of Gold;Porte d'Or;;;;x
b_gate_of_silver;Gate of Silver;Porte d'Argent;;;;x
b_gate_of_iron;Gate of Writhen Iron;Porte de Fer Forgé;;;;x
b_gate_of_bronze;Gate of Bronze;Porte de Bronze;;;;x
b_gate_of_stone;Gate of Stone;Porte de Pierre;;;;x
b_gate_of_wood;Gate of Wood;Porte de Bois;;;;x
b_rivil_ethraid;Rivil Ethraid;Rivil Ethraid;;;;x
b_dor_rivil;Dor Rivil;Dor Rivil;;;;x
b_amon_ethraid;Ost-in-Orodreth;Ost-in-Orodreth;;;;x
b_cil_anach;Cîl Anach;Cîl Anach;;;;x
b_din_fuin;Dîn Fuin;Dîn Fuin;;;;x
b_aglontaur;Aglontaur;Aglontaur;;;;x
b_eryd_orgorath;Eryd Gorgoroth;Eryd Gorgoroth;;;;x
b_orodfuin;Orodfuin;Orodfuin;;;;x
b_bair_gorgoroth;Bair Gorgoroth;Bair Gorgoroth;;;;x
b_beraid_angrod;Beraid Angrod;Beraid Angrod;;;;x
b_osthon;Osthôn;Osthôn;;;;x
b_bar_i_toss;Bar-i-Toss;Bar-i-Toss;;;;x
b_dorthaun;Dorthaun;Dorthaun;;;;x
b_minas_thonion;Minas Thonion;Minas Thonion;;;;x
b_carasthon;Carasthôn;Carasthôn;;;;x
b_dunthaun;Dûnthaun;Dûnthaun;;;;x
b_taunsolch;Taunsolch;Taunsolch;;;;x
b_runthoniath;Runthôniath;Runthôniath;;;;x
b_minthoniand;Minthôniand;Minthôniand;;;;x
b_ostrunthon;Ostrunthôn;Ostrunthôn;;;;x
