#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
c_orfalch_echor;Orfalch Echor;Orfalch Echor;;;;x
c_tumladen ;Tumladen;Tumladen;;;;x
c_gondolin;Gondolin;Gondolin;;;;x
c_rivil_well;Rivil Ethraid;Rivil Ethraid;;;;x
c_cil_anach;Cîl Anach;Cîl Anach;;;;x
c_eryd_gorgoroth;Eryd Gorgoroth;Eryd Gorgoroth;;;;x
c_dorthonion;Dorthonion;Dorthonion;;;;x
c_dunthaun;Dunthaun;Dunthaun;;;;x
c_runthoniath;Runthôniath;Runthôniath;;;;x
c_aeluin;Tarn Aeluin;Tarn Aeluin;;;;x
c_ladros;Ladros;Ladros;;;;x
c_fennas_aglon;Fennas Aglon;Fennas Aglon;;;;x
c_niben_gelion;Niben Gelion;Niben Gelion;;;;x
c_march_maedhros;March of Maedhros;Marche de Maedhros;;;;x
c_padadun;Padadûn;Padadûn;;;;x
c_pinnath_himring;Pinnath Himring;Pinnath Himring;;;;x
c_din_maglor;Dîn Maglor;Dîn Maglor;;;;x
c_thond_rerir;Thond Rerir;Thond Rerir;;;;x
c_tharb_gelion;Tharb Gelion;Tharb Gelion;;;;x
c_dor_caranthir;Dor Caranthir;Dor Caranthir;;;;x
c_helevorn;Helevorn;Helevorn;;;;x
c_morigelion;Morigelion;Morigelion;;;;x
c_dormoriand;Dormoriand;Dormoriand;;;;x
c_talath_rhunen;Talath Rhúnen;Talath Rhúnen;;;;x
c_anglennaug;Anglennaug;Anglennaug;;;;x
c_orchad_estolad;Orchad Estolad;Orchad Estolad;;;;x
c_meneliand;Meneliand;Meneliand;;;;x
c_odhelliand;Odhelliand;Odhelliand;;;;x
c_rhuven_estolad;Rhuven Estolad;Rhuven Estolad;;;;x
c_taurain_angol;Taurain Angol;Taurain Angol;;;;x
c_nan_himlad;Nan Himlad;Nan Himlad;;;;x
c_celoniand;Celoniand;Celoniand;;;;x
c_fen_of_serech;Fen of Serech;Fen of Serech;;;;x
c_eithel_sirion;Eithel Sirion;Eithel Sirion;;;;x
c_mithrim;Mithrim;Mithrim;;;;x
c_tol_sirion;Tol Sirion;Tol Sirion;;;;x
