#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
d_gondolin;Gondolin;Gondolin;;;;x
d_gondolin_adj;Noldorim;Noldorim;;;;x
d_eryn_gorgoroth;Eryn Gorgoroth;Eryn Gorgoroth;;;;x
d_eryn_gorgoroth_desc;Eryn Gorgoroth;Eryn Gorgoroth;;;;x
d_dorthonion;Dorthonion;Dorthonion;;;;x
d_dorthonion_adj;Dorthonion;Dorthonion;;;;x
d_ladros;Ladros;Ladros;;;;x
d_ladros_adj;Ladros;Ladros;;;;x
d_himring;Himring;Himring;;;;x
d_himring_adj;Himring;Himring;;;;x
d_marches_maedhros;Marches of Maedhros;Marches of Maedhros;;;;x
d_marches_maedhros_adj;Maedhrim;Maedhrim;;;;x
d_din_maglor;Dîn Maglor;Dîn Maglor;;;;x
d_din_maglor_adj;Maglorrim;Maglorrim;;;;x
d_dor_caranthir;Dor Caranthir;Dor Caranthir;;;;x
d_dor_caranthir_adj;Caranthirrim;Caranthirrim;;;;x
d_talath_runen;Talath Rhúnen;Talath Rhúnen;;;;x
d_talath_runen_adj;Talathrim;Talathrim;;;;x
d_nan_elmoth;Nan Elmoth;Nan Elmoth;;;;x
d_nan_elmoth_adj;Elmothrim;Elmothrim;;;;x
d_forn_estolad;Orchal Estolad;Orchal Estolad;;;;x
d_forn_estolad_adj;Estoladrim;Estoladrim;;;;x
d_tofnestolad;Tofn-Estolad;Tofn-Estolad;;;;x
d_tofnestolad_adj;Estoladrim;Estoladrim;;;;x
d_himlad;Himlad;Himlad;;;;x
d_himlad_adj;Himladrim;Himladrim;;;;x
d_eithel_sirion;Eithel Sirion;Eithiel Sirion;;;;x
d_eithel_sirion_adj;Sirionrim;Sirionrim;;;;x
d_mithrim;Mithrim;Mithrim;;;;x
d_mithrim_adj;Mithrim;Mithrim;;;;x
