population4desc;This province is occupied by enemies and many precious lives have been lost.;La province est occupée par des ennemis et de nombreux alliés y ont perdu la vie.;;;;;;;;;;;x
population4A;Our enemies will pay for this...;Nos ennemis paieront pour ça…;;;;;;;;;;;x
population5desc;Though the Men of the West replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage young Dunedain families to have more children. You should see results within twenty years.;Les Hommes de l'Ouest se multiplient lentement, et cela même en période d'abondance. Vous pouvez dépenser un peu d'or et d'influence pour encourager les familles des Dúnedain à avoir plus d'enfants. Vous devriez voir des résultats dans les vingt prochaines années.;;;;;;;;;;;x
population5A;No, not right now;Non, pas pour le moment.;;;;;;;;;;;x
population5B;Yes, make efforts to increase population in a random province;Oui, lançons cette politique dans une province aléatoire.;;;;;;;;;;;x
population5C;Yes, make the effort where my steward is located;Oui, lançons cette politique là où se trouve mon Intendant.;;;;;;;;;;;x
population6desc;The population in this province, with the expenditure of a great amount of wealth and influence, has grown greatly in the last 20 years.;La population de cette province, grâce à votre aide financière et votre investissement personnelle, a vu sa démographie augmenter de manière significative ces 20 dernières années.;;;;;;;;;;;x
population6A;Good tidings!;Excellent!;;;;;;;;;;;x
increase_pop_dunedain;Increase the Dunedain Population;Augmenter la population des Dunedain;;;;;;;;;;;x
increase_pop_dwarves;Increase the Dwarven Population;Augmenter la population de Nains;;;;;;;;;;;x
increase_pop_elves;Increase the Elven Population;Augmenter la population d'Elfes;;;;;;;;;;;x
lightly_populated_by_dunedain;Lightly populated by Dunedain;Faible présence de Dunedain;;;;;;;;;;;x
lightly_populated_by_dunedain_desc;The Dunedain are waning in Middle-Earth, and there are few of them left in this province.;Les Dunedain sont en déclin dans la Terre du Milieu, et il ne reste que peu d'entre eux dans cette province.;;;;;;;;;;;x
populated_by_dunedain;Populated by Dunedain;Présence de Dunedain;;;;;;;;;;;x
populated_by_dunedain_desc;This province is well settled by Dunedain.;Cette province est habitée par de nombreuses familles de Dunedains.;;;;;;;;;;;x
densely_populated_by_dunedain;Densely populated by Dunedain;Forte présence de Dunedain;;;;;;;;;;;x
densely_populated_by_dunedain_desc;In this province there are still many men of high blood, and though there may be other cities more crowded and populous, the natural gifts of the Dunedain ensure that this land is both wealthy and well protected.;Dans cette province, il ya encore beaucoup d'hommes de haute lignée, et même s'il existe en Terre du Milieu d'autres villes plus encombrées et populeuses, les dons naturels des Dunedain font de cette région une terre est à la fois riche et bien protégée.;;;;;;;;;;;x
lightly_populated_by_elves;Lightly populated by Elves;Faibre présence d'Elfes;;;;;;;;;;;x
lightly_populated_by_elves_desc;The Elves are leaving Middle-Earth, and there are few of them left in this province.;Les Elfes quittent la Terre du Milieu, et il reste bien peu d'entre eux dans cette province.;;;;;;;;;;;x
populated_by_elves;Populated by Elves;Présence d'Elfes;;;;;;;;;;;x
populated_by_elves_desc;This province is well settled by Elves.;Cette province est habitée par une communauté d'elfes.;;;;;;;;;;;x
densely_populated_by_elves;Densely populated by Elves;Forte présence d'Elfes;;;;;;;;;;;x
densely_populated_by_elves_desc;Though not 'densely populated' in the human or orcish sense, there are a great many elves in this province and the lands are both wealthy and well guarded..;Même si cette province n'est pas densément peuplée au sens que l'entendent les hommes, il existe dans cette province une forte communauté d'elfes, faisant de cette région une terre fertile et bien gardée.;;;;;;;;;;;x
lightly_populated_by_dwarves;Lightly populated by dwarves;Faible présence de Nains;;;;;;;;;;;x
lightly_populated_by_dwarves_desc;Dwarves still hold this province, but their numbers are few.;Les Nains sont encore présents dans cette province, mais seule une petite communauté occupe les lieux.;;;;;;;;;;;x
populated_by_dwarves;Populated by dwarves;Présence de Nains;;;;;;;;;;;x
populated_by_dwarves_desc;This province is well settled by dwarves. Though not a numerous people, here at least they have the strength of numbers to protect their lands and maintain their great halls.;Les Nains sont installés dans cette province, et même s'ils ne sont pas si nombreux, cela suffit à garder le territoire et entretenir les Grands Halls de leurs cités.;;;;;;;;;;;x
densely_populated_by_dwarves;Densely populated by dwarves;Forte Présence de Nains;;;;;;;;;;;x
densely_populated_by_dwarves_desc;The dwarves here are prospering, and though they will never reach the numbers that men and orcs can field, this land is well guarded and the population is steadily increasing.;Les nains ici prospèrent, et bien qu'ils ne pourront jamais atteindre la population d'une mégalopole humaine, cette terre est bien gardée et la population est en constante augmentation.;;;;;;;;;;;x
population12desc;Though Elves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province.;Les Elfes se multiplient lentement, et cela même en période d'abondance. Vous pouvez dépenser un peu d'or et d'influence pour encourager les familles elfiques à avoir plus d'enfants, ou à rester de ce côté de la Grande Mer. Vous devriez voir des résultats dans les vingt prochaines années.;;;;;;;;;;;x
population18desc;Though Dwarves replenish their numbers slowly, during times of plenty you can expend gold and influence to encourage your people to have more children. You should see results within twenty years. NOTE: There is no point doing so in a densely populated province..;Les Nains se multiplient lentement, et cela même en période d'abondance. Vous pouvez dépenser un peu d'or et d'influence pour encourager les familles naines à avoir plus d'enfants. Vous devriez voir des résultats dans les vingt prochaines années.;;;;;;;;;;;x
