#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
hunt_for_the_ring;Hunt for the Ring;;;;;x
hunt_for_the_ring_desc;Send out your best scouts to look for the One Ring.;;;;;x
use_craft_abilities;Craft an Item;Utilisez vos talents en Artisanat;;;;x
use_craft_abilities_desc;You are a craftsman, and can use your talents to create new objects.;Vous êtes un artisan, et vous devriez peut-être utiliser vos talents en créant plus d'objets.;;;;x
list_rings;Show me the Rings Holders;Montrez moi les Porteurs d'Anneaux;;;;x
list_rings_desc;Show me the Rings Holders;Montrez moi les Porteurs d'Anneaux;;;;x
gondor_archives;Open the Archives of Gondor;Ouvrez les Archives du Gondor;;;;x
gondor_archives_desc;The Archives of Gondor will show you information about the most important characters in the Kingdom.;Les Archives du Gondor vous donneront de nombreuses informations au sujet des personnalités les plus influentes du Royaume du Sud.;;;;x
colonisation_mountains;Found a Holding in the Mountains;Créer une Nouvelle Cité dans les Montagnes;;;;x
colonisation_mountains_desc;You are the Lord of an unpopulated mountain range. You can send miners to create new galleries and begin to found a powerful new city or fortress for your people.;Vous êtes le Seigneur d'une étendue montagneuse désertique. Vous devriez y envoyer des mineurs, pour créer de nouvelles galeries, et y fonder une puissante cité ou forteresse pour votre peuple.;;;;x
council_gondor;Reunite the Council of Gondor;Réunir le Conseil du Gondor;;;;x
council_gondor_desc;The Council of Gondor was composed of Captains and Princes of Gondor that provided advice to the Kings and, later, to the Stewards.;Le Conseil du Gondor, qui était composé des Capitaines et des Princes du Gondor, fournit des conseils aux Rois et plus tard aux Intendants du Gondor.;;;;x
list_artefact;Show the Holders of Artefacts;Voir les Listes des Propriétaires d'Artefacts;;;x
list_artefact_desc;Show lists of the holders of unique weapons, rings and palantíri.;Voir les Listes des Propriétaires d'Artefacts;;;x
use_palantir_war;Use the Palantír;Utiliser le Palantir;;;x
use_palantir_war_desc;You are the guardian of one of the Palantíri, the stones of Vision brought in Middle-Earth by Elendil of Numenor. You can use it in times of war.;Vous êtes le Gardien de l'un des Palantiri, l'une des pierres de Vision apportées de Numenor par Elendil. Vous devriez l'utiliser en ces temps de Guerre.;;;x
list_palantir_desc;List the living Guardians of the Palantíri.;Permet de savoir qui sont les Gardiens vivants des Palantiri.;;;x
list_palantir;Show the Guardians of the Palantíri;Montrez les Gardiens des Palantiri.;;;x
visit_palantir_elostirion;Visit the Palantír of Elostirion;Se rendre auprès du Palantir d'Elostirion;;;x
visit_palantir_elostirion_desc;Journey to the Palantír of Elostirion, the Elf Tower, and try to glimpse the Undying Lands.;Se rendre auprès du Palantir d'Elostirion;;;x
looking_at_palantír;Look into the Palantír;Regarder dans le Palantír;;;x
looking_at_palantír_desc;Look into the Palantír, the Seeing Stone, and see your future, the world and the destiny that is waiting for you.;;;;x
looking_at_palantír2;Look into the Palantír once more;Besoin de regarder dans le Palantír…;;;x
looking_at_palantír2_desc;Look into the Palantír again, but be careful...;;;;x
looking_at_Palantír3;Look into the Palantír again...;;;;x
looking_at_Palantír3_desc;Look into the Palantír again, but be careful...;;;;x
locked_the_Palantír;Hide the Palantír;Enfermer le Palantír;;;x
locked_the_Palantír_desc;Hide the Palantír in a secret place and never look at it again.;Vous devriez enfermer le Palantír dans un coffre et ne plus jamais le regarder.;;;x
give_palantir_ithil_to_son;Give [Root.GetFirstName] the Ithil-Stone.;Donner la Pierre d'Ithil à [Root.GetFirstName]. ;;;x
give_palantir_sul_to_son;Give [Root.GetFirstName] the Amon Sûl-Stone.;Donner la Pierre d'Amon Sûl à [Root.GetFirstName]. ;;;x
give_palantir_elostirion_to_son;Give [Root.GetFirstName] the Elendil-Stone.;Donner la Pierre d'Elendill à [Root.GetFirstName]. ;;;x
give_palantir_to_son;Give [Root.GetFirstName] the Anor-Stone.;Donner la Pierre d'Anor à [Root.GetFirstName]. ;;;x
give_palantir_orthanc_to_son;Give [Root.GetFirstName] the Orthanc-Stone.;Donner la Pierre d'Orthanc à [Root.GetFirstName]. ;;;x
give_palantir_osgiliath_to_son;Give [Root.GetFirstName] the Osgiliath-Stone.;Donner la Pierre d'Osgiliath à [Root.GetFirstName]. ;;;x
give_palantir_annuminas_to_son;Give [Root.GetFirstName] the Annúminas-Stone.;Donner la Pierre d'Annúminas à [Root.GetFirstName]. ;;;x
give_palantir_ithil_to_son_desc;Yield the Ithil-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Ithil à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;x
give_palantir_sul_to_son_desc;Yield the Amon Sûl-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Amon Sûl à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;x
give_palantir_elostirion_to_son_desc;Yield the Elendil-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Elendil à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;x
give_palantir_to_son_desc;Yield the Anor-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Anor à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;x
give_palantir_orthanc_to_son_desc;Yield the Orthanc-Stone to [Root.GetFirstName], who will protect her, as you did it yourself.;Cédez la Pierre d'Orthanc à [Root.GetFirstName], qui se chargera de la protéger, comme vous l'avez fait vous-même.;;;x
