#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DESCmepclaims.0;You are haunted by a recurring dream relating to your ancient claim. The rich lands of Gondor could have been yours... should have been yours... !;Vous êtes hanté par un rêve récurrent, qui vous rappelle l'étendue des Terres de vos Ancêtres. Les riches terres du Gondor aurait pu être les vôtres ... aurait dû être les vôtres ... !;;;;;;;;;;;;x
mepclaims0a;Ready the Black Fleet!;Préparez la Flotte Noire !;;;;;;;;;;;;x
DESCmepclaims.1;Umbar was once a mighty fortress of Gondor, and under your rule, it could be again...;Umbar était jadis une puissance forteresse du Gondor au Sud… Cela pourrait être encore le cas…;;;;;;;;;;;;x
mepclaims1a;Prepare to send a mighty army!;Préparez-ous à envoyer une puissante armée !;;;;;;;;;;;;x
mepclaims1b;No. Gondor is too weak.;Non, le Gondor est trop faible.;;;;;;;;;;;;x
DESCmepclaims.2;The time of the Elves is over. It is the age of men... which you must rule. It will begin, with Rohan.;Le Temps des Elfes est terminé… C'est l'äge des Hommes… que vous devriez dominer. Cela commencera avec le Rohan.;;;;;;;;;;;;x
mepclaims2a;I shall strike when they are weak and leaderless!;Je devrais attaquer tant qu'ils sont faibles!;;;;;;;;;;;;x
DESCmepclaims.3;The straw-heads took your lands, and drove you off to scratch a living off bare rocks. But one day you may return and take back what is yours!;Les éleveurs de chevaux ont pris NOS terres, et nous ont conduits a vivre nus sur des rochers. Mais un jour, vous retournerez et leur prendrez ce qui vous appartient de droit !;;;;;;;;;;;;x
mepclaims3a;Lands of Rohan are ours !;Les Terres du Rohan sont à nous !;;;;;;;;;;;;x
DESCmepclaims.4;With Sauron defeated, hope is renewed for the Dwarves. The Durin's Bane was killed, and the city of Khazad-Dum should be repopulated by our kin. It's time to send a mighty army to reconquer our Kingdom !;Avec Sauron vaincu, l'espoir renait pour les Nains. Le fléau de Durin a été tué, et l'antique citée de Khazad-Dum devrait être repeuplée par notre Peuple. Il est temps d'envoyer une puissante armée pour reconquérir notre Royaume !;;;;;;;;;;;;x
mepclaims4a;Baruk Khazâd! Khazâd ai-mênu!;Baruk Khazâd! Khazâd ai-mênu!;;;;;;;;;;;;x
mepclaims4b;Khazad-Dum is lost for the dwarves.;Khazad-Dum est perdu pour les Nains.;;;;;;;;;;;;x
DESCmepclaims.5;The Dwarves assemble currently a mighty army, and plan to reclaim the mines of Moria in order to rebuild the ancient kingdom of Khazad-Dum! If they succeed, the wealth of the Durin's Folk will be huge ...;Les nains assemblent une puissante armée, et prévoient de reconquérir les mines de la Moria pour y rebatir l'ancien royaume de Khazad-Dum ! S'ils réussissent, les richesses du Peuple de Durin seront immenses…;;;;;;;;;;;;x
mepclaims5a;I hope they'll share their treasures !;J'espère qu'ils partageront leurs trésors!;;;;;;;;;;;;x
mepclaims5b;A new war between dwarves and orcs?;Une nouvelle guerre entre Nains et Orques?;;;;;;;;;;;;x
mepclaims5c;Greedy dwarves!;Nains cupides !;;;;;;;;;;;;x
DESCmepclaims.6;You brilliantly reconquered Khazad-Dum, and your people settled there little by little. You know that orcs can now be defeated and exiled from their caves, and you look to the North. Mount Gundabad, where once awoke Durin I the Deathless, the father of your people. It's time to take this holy place, occupied too long by those pesky orcs ...;Vous avez brillamment reconquis Khazad-Dum, et votre peuple s'y réinstalle petit à petit. Vous savez que les orques peuvent être maintenant vaincus et exilés de leurs cavernes, et vous regardez au Nord. Le Mont Gundabad, où jadis s'éveilla Durin I Trompe-la-Mort, le père de votre peuple. Il est temps de reprendre ce lieu saint, occupé depuis trop longtemps par ces maudits orques...;;;;;;;;;;;;x
mepclaims6a;Baruk Khazâd! Khazâd ai-mênu!;Baruk Khazâd! Khazâd ai-mênu!;;;;;;;;;;;;x
mepclaims6b;This is no more an Holy Place…;Ce n'est plus un Lieu Saint…;;;;;;;;;;;;x
DESCmepclaims.7;Dwarves of Moria reconquered, and rebuilt the kingdom of Khazad-Dum! Now they want to take over the land where once born Durin I. Mount Gundabad will soon be the site of a major battle …;Les Nains ont reconquis la Moria, et rebâti le Royaume de Khazad-Dum ! Maintenant, ils veulent reprendre les terres où naquit jadis Durin I. Le Mont Gundabad va bientôt être le siège d'une bataille importante...;;;;;;;;;;;;x
mepclaims7a;I hope the dwarves will exterminate the last orcs!;J'espère que les orques seront massacrés!;;;;;;;;;;;;x
mepclaims7b;War, again?;La Guerre, encore?;;;;;;;;;;;;x
mepclaims7c;Greedy dwarves!;Nains cupides !;;;;;;;;;;;;x
