#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITsauron.21;Command the Nazgûl;Commander les Nazgûl;;;;;;;;;;;;x
EVTDESCsauron.21;While you gather your forces in Dol Guldur, you can send the Nazgûl to do your bidding. Khamûl can go the East. Akhôrahil, Adûnaphazôr and Abrazîr can go to Mordor. Ji-Undur, Dwar, Ren and Ûvatha can go to the South and into Dunland.;Alors que vous rassemblez vos forces à Dol Guldur, vous devriez envoyer vos Nazgûl executer quelques missions pour vous : Khamûl à l'Est, Akhôrahil, Adûnaphazôr et Abrazîr au Mordor, et Ji-Undur, Dwar, Ren et Û au Sud et dans les tribus du Pays de Dun. ;;;;;;;;;;;;x
EVTOPTAsauron.21;Send for Khamûl the Black Easterling!;J'envoie Khamûl en Orient !;;;;;;;;;;;;x
EVTOPTBsauron.21;Send for Akhôrahil, Adûnaphazôr and Abrazîr!;Je vais commander Akhôrahil, Adûnaphazôr and Abrazîr!;;;;;;;;;;;;x
EVTOPTCsauron.21;Send for Ji-Undur, Dwar, Ren and Ûvatha!;Je vais envoyer Ji-Undur, Dwar, Ren et Û!;;;;;;;;;;;;x
EVTOPTDsauron.21;It is too early...;C'est trop tôt…;;;;;;;;;;;;x
EVTTITsauron.22;Khamûl the Black Easterling;Khamûl l'Oriental;;;;;;;;;;;;x
EVTDESCsauron.22;You have summoned Khamûl, and he awaits your orders. What mission will you give him? Raise an army of Easterlings to invade Middle-Earth from the East? Or join his the Witch-King in Angmar, if he remains undefeated?;Khamûl se présente devant vous, comme vous l'avez ordonné. Quelle mission allez-vous lui donner? Lever une armée d'Orientaux pour envahir vos ennemis? Ou rejoindre son capitaine en Angmar ?;;;;;;;;;;;;x
EVTOPTAsauron.22;Invade with your Easterlings, Lord Khamûl.;Attaquez avec vos Orientaux, seigneur Khamûl.;;;;;;;;;;;;x
EVTOPTCsauron.22;You will join the Witch-King in Angmar.;Vous rejoindez le Roi-Sorcier en Angmar.;;;;;;;;;;;;x
EVTOPTDsauron.22;The situation has changed, wait for orders Khamûl.;Attendez encore.;;;;;;;;;;;;x
EVTTITsauron.23;Khamûl the Black Easterling;Khamûl l'Oriental;;;;;;;;;;;;x
EVTDESCsauron.23;Lord Sauron has ordered you to raise an army and invade the eastern territories of Middle-earth. Who shall you send for? The Balchoths could invade Rhovanion, Dorwinion and Rhûn or the Wainriders can invade Calenardhon, Anorien and the Brownlands.;Le Seigneur Sauron vous a ordonné de lever une armée d'orientaux pour envahir certains territoires de la Terre du Milieu. Qui allez-vous appeler? Les Balchoths pour envahir le Rhovanion, le Dorwinion et Rhûn, ou les Wainriders, pour envahir le Calenardhon, l'Anorien et les Terres Brunes?;;;;;;;;;;;;x
EVTOPTAsauron.23;I will gather the Balchoths.;Je vais appeler à moi les Balchoths.;;;;;;;;;;;;x
EVTOPTBsauron.23;I will gather the Wainriders.;Je vais appeler les Wainriders.;;;;;;;;;;;;x
EVTTITsauron.24;Invasion of the Balchoths;L'Invasion des Balchoths;;;;;;;;;;;;x
EVTDESCsauron.24;On a stormy night, a dark shadow of a man rides up to your palace. Khamûl has come to you, ordering you to take up arms and conquer the rich lands of Rhovanion, Rhûn and Dorwinion. You are too scared to refuse, and immediately make preperations to raise an army and go to war.;Une nuit de tempête, une ombre est entrée dans votre palais. Khamûl vous est apparu, et vous a ordonné de prendre les armes pour conquérir les riches terres du Rhovanion, de Rhûn et du Dorwinion. Vous êtes trop effrayé pour refuser, et vous lever immédiatement une armée pour partir en guerre...;;;;;;;;;;;;x
EVTOPTAsauron.24;W-we will go to war, my lord!;A la Guerre !;;;;;;;;;;;;x
EVTTITsauron.25;Invasion of the Wainriders;L'Invasion des Wainriders;;;;;;;;;;;;x
EVTDESCsauron.25;On a stormy night, a dark shadow of a man rides up to your palace. Khamûl has come to you, ordering you to take up arms and conquer the rich lands of Calenardhon, Anorien and the Brownlands. You are too scared to refuse, and immediately make preperations to raise an army and go to war.;Une nuit de tempête, une ombre est entrée dans votre palais. Khamûl vous est apparu, et vous a ordonné de prendre les armes pour conquérir les riches terres du Calenardhon, de l'Anorien et des Terres Brunes. Vous êtes trop effrayé pour refuser, et vous lever immédiatement une armée pour partir en guerre...;;;;;;;;;;;;x
EVTOPTAsauron.25;To War!;A la Guerre !;;;;;;;;;;;;x
EVTTITsauron.26;Invasion of the Balchoths;L'Invasion des Balchoths;;;;;;;;;;;;x
EVTDESCsauron.26;Khamûl has returned, bringing word that the Balchoths have been convinced to take up arms. They need time to gather their army, but they will descend on Rhovanion and conquer for Sauron.;Khamûl  a annoncé avoir convaincu les Balchoths de prendre les armes. Le temps de rassembler leur armée, et ils déferleront sur le Rhovanion pour conquérir en votre nom.;;;;;;;;;;;;x
EVTOPTAsauron.26;Perfect.;Parfait.;;;;;;;;;;;;x
EVTTITsauron.27;Invasion of the Wainriders;L'Invasion des Wainriders;;;;;;;;;;;;x
