#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#RELIGION GROUPS;x;x;x;x;x;x
CHURCH_NAME;$RELIGION$ ($GROUP$);$RELIGION$ ($GROUP$);;;$RELIGION$ ($GROUP$);x
religion_group_eruhini;Ainur;Ainur;;;;x
religion_group_enyd;Onodrim;Onodrim;;;;x
religion_group_khazad;Khazâd;Khazâd;;;;x
religion_group_eldar;Eldar;Eldar;;;;x
religion_group_periannath;Periannath;Periannath;;;;x
religion_group_edain;Edain;Edain;;;;x
religion_group_hildor;Men of Darkness;Hommes de l'Ombre;;;Uomini dell'Oscurità;x
religion_group_melkor;Creatures of Melkor;Créatures de Melkor;;;;x
religion_group_orkish;Orcs;Orques;;;;x
religion_group_olog;Olog;Olog;;;;x
religion_group_wilderness;Wilderness;Vie sauvage;;;;x
#RELIGIONS;;;;;;x
religion_eruhini;Ainur;Ainur;;;;x
religion_enyd;Onodrim;Onodrim;;;;x
religion_mahal;Dwarves;Nains;;;Nani;x
religion_moriquendi;Moriquendi;Moriquendi;;;;x
religion_calaquendi;Calaquendi;Calaquendi;;;;x
religion_perian;Periannath;Periannath;;;Periannath;x
religion_stoor;Stoor;Stoor;;;;x
religion_druedain;Drúedain;Drúedain;;;;x
religion_edain;Edain;Edain;;;;x
religion_dunedain;Dúnedain;Dúnedain;;;;x
religion_numenorean;Númenórean;Númenóreen;;;;x
religion_black_numenorean;Black Númenóreans;Númenóreen Noir;;;;x
religion_rhovanion;Northmen;;;;Uomini del Nord;x
religion_easterlings;Easterlings;Easterlings;;;Esterling;x
religion_haldadian;Haldadian;Haldadian;;;;x
religion_southron;Southrons;Hommes du Sud;;;Sudroni;x
religion_ishmalogim;Ishmalogim;Ishmalogim;;;;x
religion_lossoth;Lossoth;Lossoth;;;Lossoth;x
religion_angmarim;Angmarim;Angmarim;;;;x
religion_melkor;Creature of Melkor;Créatures de Melkor;;;;x
religion_orkish;Orcs;Orques;;;;x
religion_uruk;Uruk;Uruk;;;;x
religion_olog;Troll;Troll;;;;x
religion_wilderness;Wilderness;Vie sauvage;;;Lande Selvagge;x
religion_nurning;Núrnoth;Núrnoth;;;Núrnoth;x
