#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
CB_NAME_WILDERNESS;Settle in [Title.GetBaseName];Colonisation de [Title.GetBaseName];;;x
WAR_NAME_WILDERNESS;$ORDER$$FIRST_ADJ$ Settlement of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ colonisé $OTHER_TITLE$;;;x
CB_NAME_IMPERIAL;Isildurionath Reconquest of [Title.GetBaseName];Reconquête de l'Héritier d'Isildur sur [Title.GetBaseName];;;x
WAR_NAME_IMPERIAL;$ORDER$ Isildurionath Reconquest of $OTHER_TITLE$;$ORDER$ Reconquête de $OTHER_TITLE$;;;x
imperial_reconquest_desc;The lost territory of the Kingdom of Arnor must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;The lost territory of the Kingdom of Arnor must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;;;x
CB_NAME_CLAIM;Attack [Title.GetBaseName];Attaque [Title.GetBaseName];;;x
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ War for $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Guerre pour $OTHER_TITLE$;;;x
CB_NAME_ORKISH;Orkish Invasion of [Title.GetBaseName];Invasion Orque de [Title.GetBaseName];;;x
WAR_NAME_ORKISH;$ORDER$ Orkish Invasion of $OTHER_TITLE$;Invasion Orque de $OTHER_TITLE$;;;x
orkish_invasion_desc;The time of the Orcs is coming! For too long Men, Elves and Dwarves have kept the best land for themselves. We shall take their territory and impose on the world our domination!;Le temps des Orques est arrivé ! Trop longtemps, les Hommes, les Elfes, les Nains ont possédé les meilleures terres. Il est temps maintenant de les prendre, et d'asseoir la domination de votre race sur le monde !;;;x
evil_invasion;Evil Invasion;Invasion;;;x
evil_invasion_desc;The time of Darkness is coming. For the glory of Melkor, I will conquer these lands!;;;;x
CB_NAME_WILDERNESS_MOUNTAINS;Settle in the Mountains of [Title.GetBaseName];Colonisation des Montagnes de [Title.GetBaseName];;;x
WAR_NAME_WILDERNESS_MOUNTAINS;$ORDER$$FIRST_ADJ$ Conquest of the Mountains of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Conquête des Montagnes de $OTHER_TITLE$;;;x
mountains_invasion_desc;You can build a new realm in these mountains.;Vous devriez installer un nouveau royaume dans ces montagnes.;;;x
