#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
employment_timer;Recently employed a character;;x;;;;;;;;;;;
employ_chancellor;Hire an Emissary;;x;;;;;;;;;;;
employ_chancellor_desc;Invite an emissary to your mansion to aid with diplomatic affairs.;;x;;;;;;;;;;;
employ_marshal;Hire a Soldier;;x;;;;;;;;;;;
employ_marshal_desc;Invite a soldier to your mansion, to help train your armies.;;x;;;;;;;;;;;
employ_spymaster;Hire a Spy;;x;;;;;;;;;;;
employ_spymaster_desc;Invite a spy  to your mansion, to help run your spy network.;;x;;;;;;;;;;;
employ_steward;Hire a Steward;;x;;;;;;;;;;;
employ_steward_desc;Invite a promising nobleman to your mansion, to aid with matters of administration.;;x;;;;;;;;;;;
present_debutante;Invite a Maiden;;x;;;;;;;;;;;
present_debutante_desc;Invite a young maiden to your mansion.;;x;;;;;;;;;;;
present_female_slave;Ask for a female slave;;x;;;;;;;;;;;
present_female_slave_desc;Ask your minions for a female slave who could satisfie your needs.;;x;;;;;;;;;;;
