#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
April;Gwirith;Gwirith;Gwirith;Gwirith;Gwirith;Gwirith;Gwirith;Gwirith;;;;;;x
August;Urui;Urui;Urui;Urui;Urui;Urui;Urui;Urui;;;;;;x
December;Girithron;Girithron;Girithron;Girithron;Girithron;Girithron;Girithron;Girithron;;;;;;x
February;Nínui;Nínui;Nínui;Nínui;Nínui;Nínui;Nínui;Nínui;;;;;;x
Friday;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;Orbelain;;;;;;x
January;Narwain;Narwain;Narwain;Narwain;Narwain;Narwain;Narwain;Narwain;;;;;;x
July;Cerveth;Cerveth;Cerveth;Cerveth;Cerveth;Cerveth;Cerveth;Cerveth;;;;;;x
June;Nórui;Nórui;Nórui;Nórui;Nórui;Nórui;Nórui;Nórui;;;;;;x
March;Gwaeron;Gwaeron;Gwaeron;Gwaeron;Gwaeron;Gwaeron;Gwaeron;Gwaeron;;;;;;x
May;Lothron;Lothron;Lothron;Lothron;Lothron;Lothron;Lothron;Lothron;;;;;;x
Monday;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;Orithil;;;;;;x
November;Hithui;Hithui;Hithui;Hithui;Hithui;Hithui;Hithui;Hithui;;;;;;x
October;Narbeleth;Narbeleth;Narbeleth;Narbeleth;Narbeleth;Narbeleth;Narbeleth;Narbeleth;;;;;;x
Saturday;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;Orgilion;;;;;;x
September;Ivanneth;Ivanneth;Ivanneth;Ivanneth;Ivanneth;Ivanneth;Ivanneth;Ivanneth;;;;;;x
Sunday;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;Oranor;;;;;;x
Thursday;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;Aroeren;;;;;;x
Tuesday;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;Argalad;;;;;;x
Wednesday;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;Ormenel;;;;;;x
