#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
white_council;White Council Member;Membre du Conseil Blanc;;;x
white_council_desc;This character is a member of the White Council, regarded among the wisest people of Middle Earth.;Ce personnage est un membre du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;x
leader_whitecouncil;Head of the White Council;Chef du Conseil Blanc;;;x
leader_whitecouncil_desc;This character is the Head of the White Council, and protect the Middle-Earth from Evil.;Ce personnage est le Chef du Conseil Blanc, et protège la Terre du Milieu du Mal.;;;x
palantir;The Anor-Stone;La Pierre d'Anor;;;x
palantir_desc;This character holds one of the Palantíri, also known as Seeing-Stones or the Seven Stones. When one looks into a palantír, one can communicate with other such stones and anyone who might be looking into them. The Anor-stone was the Gondorian palantír kept at Minas Tirith, taking its name from the older title of that city, Minas Anor. It was kept an unused secret by the Ruling Stewards after the Fall of the Last King.;Ce personnage tient un des Palantíri, aussi connus commes les Pierres de Visions ou les Sept Pierres. Quand on regarde dans un Palantír, on peut communiquer avec une autre de ces pierres et tous ceux qui pourraient s'en servir. La Pierre d'Anor était l'un des Palantíri du Gondor, localisé à Minas Tirith, prenant son nom de l'ancienne dénomination de cette ville, Minas Anor. Il a été gardé en secret, inutilisé, par les Intendants du Gondor après la chute du dernier roi.;;;x
nenya;Nenya;Nenya;;;x
nenya_desc;This character holds Nenya, also named the White Ring, the Ring of Adamant, or the Ring of Water. It is one of the three Elven Rings of Power. It was forged of Mithril by Celebrimbor in the Second Age and given to Galadriel. Nenya's power is preservation, protection, and concealment from evil.;Nenya, l'Anneau d'Eau, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor et détenu par Galadriel.;;;x
narya;Narya;Narya;;;x
narya_desc;This character holds Narya, also named the Ring of Fire or Red Ring. It is one of the three Elven Rings of Power. It was forged by Celebrimbor for Gil-Galad in the Second Age. It has the power to inspire others to resist tyranny, domination and despair, as well as having the power to hide the wielder from remote observation and giving resistance to the weariness of time.;Narya, l'Anneau de Feu, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad, qui le donna par la suite à Cirdan, le charpentier. Gandalf se le verra offrir par ce dernier à son arrivée sur la Terre du Milieu.;;;x
vilya;Vilya;Vilya;;;x
vilya_desc;This character holds Vilya, also named the Ring of Sapphire, the Blue Ring, or the Ring of Air. It is one of the three Elven Rings of Power, and mightiest of the Three. It possesses the power of controlling natural elements and to heal and to preserve life.;Nenya, l'Anneau de Mithril, l'un des trois Anneaux Elfiques, forgé jadis par Celebrimbor pour Gil-Galad. Elrond en pris possession à la mort de ce dernier.;;;x
annunimas;Scepter of Annúminas;Sceptre d'Annunimas;;;x
annunimas_desc;This character holds the scepter of Annunimas, the symbol of royalty for the Kings of Arnor. The Sceptre of Annúminas was a silver rod originally borne by the Lords of Andúnië in Númenor, and it was patterned after the sceptre of the Kings of Númenor.;Ce personnage brandis le Sceptre d'Annunimas, symbole du pouvoir des Rois d'Arnor.;;;x
ring;The One Ring;Anneau de Pouvoir;;;x
