#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
EVTDESC318;A bastard child is born, but is not recognized as such by the spouse of the mother;;;;;;x
EVTDESC312;A child of the consort is born;;;;;;x
EVTOPTA12;OK;;;;;;x
EVTDESC414;The consort's liege suspects something ain't right;;;;;;x
EVTOPTA414;I know who is the father!;;;;;;x
EVTTOOLTIP414;I know who is the father!;;;;;;x
EVTOPTA8050;OK;;;;;;x
EVTOPTB_REP_304_tooltip;OK;;;;;;x
EVTOPTC4115;What! Are you kidding...;;;;;;;;;;;;;x
#that's a cool event debug thingy imo
DEBUGDESC;EVENT = $EVENT$,\nROOT = [Root.GetBestName] ([Root.GetID]),\nTHIS = [This.GetBestName] ([This.GetID]),\nFROM = [From.GetBestName] ([From.GetID]),\nFROMFROM = [FromFrom.GetBestName] ([FromFrom.GetID]);;;;;;x
